system:index,GID_0,GID_1,NAME_0,NAME_1,VARNAME_1,pop14,pop15,pop16,pop17,pop18,pop19,.geo
0000f8c9d84d25b54090,SHN,SHN.3_1,Saint Helena,Tristan da Cunha,TristÃ£o da Cunha,0.0,0.0,0.0,0.0,0.0,0.0,
0000b227cf6e6027fead,SHN,SHN.2_1,Saint Helena,Saint Helena,,0.0,0.0,0.0,0.0,0.0,0.0,
0000425a24df98abc728,SHN,SHN.1_1,Saint Helena,Ascension,AscensÃ£o,0.0,0.0,0.0,0.0,0.0,0.0,
0000a8f54daf9a729964,ESH,ESH.4_1,Western Sahara,Oued el Dahab,Ed Dakhla|Oued Eddahab,0.0,124080.88292977594,0.0,0.0,0.0,0.0,
0000d317156b6f784739,ESH,ESH.1_1,Western Sahara,Boujdour,Bojador,0.0,37544.98492844246,0.0,0.0,0.0,0.0,
000091ca6c992b3e1c2d,MRT,MRT.12_1,Mauritania,Tiris Zemmour,,33801.105155844736,34808.034230434605,35819.17802426738,36845.67124037764,37886.5870896693,38956.90953596191,
00006f1c03981054c396,ESH,ESH.3_1,Western Sahara,Laayoune,El aaiÃºn,0.0,314957.65957720554,0.0,0.0,0.0,0.0,
00001668573b47a8d958,ESH,ESH.2_1,Western Sahara,Es Semara,Smara,0.0,62737.68833253448,0.0,0.0,0.0,0.0,
00001b116635795d76c7,MAR,MAR.6_1,Morocco,Guelmim - Es-Semara,,0.0,0.0,0.0,0.0,0.0,0.0,
0000abdb4116f29564f9,MAR,MAR.7_1,Morocco,LaÃ¢youne - Boujdour - Sakia El Hamra,,0.0,0.0,0.0,0.0,0.0,0.0,
0000652dc562a34887d3,MAR,MAR.4_1,Morocco,Gharb - Chrarda - BÃ©ni Hssen,,0.0,0.0,0.0,0.0,0.0,0.0,
00004938b3256d63ce7f,MAR,MAR.14_1,Morocco,Tanger - TÃ©touan,,0.0,0.0,0.0,0.0,0.0,0.0,
0000c0944762609b6915,MAR,MAR.15_1,Morocco,Taza - Al Hoceima - Taounate,,0.0,0.0,0.0,0.0,0.0,0.0,
0000aa73af7914844178,ESP,ESP.7_1,Spain,Ceuta y Melilla,,0.0,87309.53764016094,0.0,0.0,0.0,0.0,
00009e5e45df96a30c31,MAR,MAR.10_1,Morocco,Oriental,,0.0,317.76857574463423,0.0,0.0,0.0,0.0,
0000ef5e7eb6970c1d28,DZA,DZA.48_1,Algeria,Tlemcen,Tilimsene|Tlemsane|Tilimsen|TremecÃ©m,0.0,650078.4361684808,0.0,0.0,0.0,0.0,
0000ea67a1b3507c6e05,DZA,DZA.3_1,Algeria,AÃ¯n TÃ©mouchent,Ain Tamouchent,0.0,245886.46995147606,0.0,0.0,0.0,0.0,
00008aa0ec11f4fc2104,DZA,DZA.30_1,Algeria,Mostaganem,Mostaghanem|Mestghanem,0.0,428502.6271644019,0.0,0.0,0.0,0.0,
000051bbf06319774ff4,DZA,DZA.27_1,Algeria,Mascara,Mouaskar,0.0,429986.1954189569,0.0,0.0,0.0,0.0,
00005919d4077991ae9e,DZA,DZA.32_1,Algeria,Oran,OrÃ¡n|Orano|OrÃ£o|Ouahran|Ouahrane|Wahran,0.0,1742909.1884300166,0.0,0.0,0.0,0.0,
0000989a3da7d2f3120e,DZA,DZA.38_1,Algeria,Sidi Bel AbbÃ¨s,Sidi-Bel-Abbes,0.0,457468.57895040896,0.0,0.0,0.0,0.0,
000067f888be35444821,DZA,DZA.36_1,Algeria,SaÃ¯da,,0.0,207471.79379071292,0.0,0.0,0.0,0.0,
0000c49864d7ec32e52f,DZA,DZA.17_1,Algeria,El Bayadh,El Bayad|El Beyyadh|GÃ©ryville,0.0,147373.66247271074,0.0,0.0,0.0,0.0,
0000ec4eb93ae14a530a,DZA,DZA.31_1,Algeria,NaÃ¢ma,Naama,0.0,144709.69685076454,0.0,0.0,0.0,0.0,
0000862acb383ef8dde0,DZA,DZA.7_1,Algeria,BÃ©char,Colomb-BÃ©char|Bechar,0.0,195211.68401972819,0.0,0.0,0.0,0.0,
0000f4cd148d34f8bc9e,DZA,DZA.1_1,Algeria,Adrar,DuperrÃ©,0.0,136245.2826483886,0.0,0.0,0.0,0.0,
000075d5221b5f06f09d,MAR,MAR.9_1,Morocco,MeknÃ¨s - Tafilalet,,0.0,0.0,0.0,0.0,0.0,0.0,
000039ec14680d41579b,DZA,DZA.44_1,Algeria,Tindouf,Tiaret,0.0,14897.356084818264,0.0,0.0,0.0,0.0,
000025bab4da20c10534,MAR,MAR.3_1,Morocco,FÃ¨s - Boulemane,,0.0,0.0,0.0,0.0,0.0,0.0,
